,Year,Brand,Model,Comb_CO2,Prediction
3398,2015,Jeep,Cherokee 4X4,376,388.9837962
3405,2015,Jeep,Compass 4X4,385,386.4031838
3409,2015,Jeep,Patriot 4X4,416,384.4266412
3410,2015,Jeep,Patriot 4X4,367,376.2450677
3412,2015,Jeep,Renegade 4x4,368,388.9837962
3415,2015,Jeep,Wrangler Unlimited 4X4,505,471.1014108
3417,2015,KIA MOTORS CORPORATION,Sorento AWD,408,393.3766179
3421,2015,KIA MOTORS CORPORATION,Sportage SX AWD,419,396.4483598
3423,2015,Land Rover,LR2,450,430.4094253
3424,2015,Land Rover,Range Rover Evoque,369,399.0289721
3425,2015,LEXUS,NX 200t AWD,368,389.4749257
3430,2015,LEXUS,RX 450h AWD,309,334.5609234
3431,2015,Lincoln,MKC  AWD,404,389.4749257
3434,2015,MAZDA,CX-5 4WD,321,345.8240062
3436,2015,MAZDA,CX-9 4WD,480,477.4574533
3437,2015,Mercedes-Benz,GLA 250 4MATIC,327,371.7393058
3441,2015,Mercedes-Benz,GLK 350 4MATIC,430,460.3525466
3442,2015,Mitsubishi Motors Corporation,OUTLANDER 4WD,340,365.4828817
3444,2015,Mitsubishi Motors Corporation,OUTLANDER SPORT 4WD,327,349.3107232
3446,2015,NISSAN,PATHFINDER 4WD,404,420.3241517
3449,2015,NISSAN,ROGUE SELECT AWD,375,366.6776995
3450,2015,NISSAN,XTERRA 4WD,531,497.7337204
3453,2015,Porsche,Macan Turbo,467,493.2279585
3455,2015,Subaru,FORESTER,328,349.2441144
3456,2015,Subaru,FORESTER,362,375.6276762
3461,2015,Subaru,XV CROSSTREK HYBRID,282,301.819151
3463,2015,TOYOTA,RAV4 Limited AWD,360,375.6276762
3466,2015,Volkswagen,Tiguan 4Motion,394,396.4483598
3467,2015,"Volvo Cars of North America, LLC",V60 CC AWD,383,402.3512838
3472,2015,"Volvo Cars of North America, LLC",XC70 AWD,420,433.7069153
3474,2015,BMW,X6 sDrive35i,410,449.4907422
3476,2015,Cadillac,ESCALADE 2WD,527,578.6743112
3477,2015,Cadillac,ESCALADE 2WD,511,585.0436755
3478,2015,Cadillac,ESCALADE ESV 2WD,527,578.6743112
3479,2015,Cadillac,ESCALADE ESV 2WD,511,585.0436755
3480,2015,Cadillac,SRX,461,463.8259419
3485,2015,Chevrolet,TRAVERSE FWD,465,463.8259419
3488,2015,Ford,Expedition 2WD,491,479.8984819
3489,2015,Ford,Expedition EL 2WD,525,493.84535
3490,2015,Ford,EXPLORER FFV 2WD,450,450.1944305
3491,2015,Ford,EXPLORER FWD,392,382.5014917
3492,2015,Ford,EXPLORER FWD,450,450.1944305
3493,2015,Ford,Flex FWD,437,450.1944305
3494,2015,GMC,ACADIA FWD,465,463.8259419
3496,2015,GMC,C1500 YUKON 2WD,481,536.1851998
3502,2015,GMC,C1500 YUKON XL 2WD,511,585.0436755
3507,2015,Jeep,Grand Cherokee 4X2,527,576.1603077
3515,2015,TOYOTA,4RUNNER 2WD,466,473.3267013
3516,2015,TOYOTA,SEQUOIA 2WD,609,590.7112455
3518,2015,Audi,Q7,498,496.6283788
3521,2015,BMW,X5 xDrive35i,419,456.4641763
3526,2015,Buick,ENCLAVE AWD,494,474.2860929
3533,2015,Chevrolet,K15 SILVERADO 4WD CAB CHASSIS,523,550.1320678
3534,2015,Chevrolet,K15 SILVERADO 4WD CAB CHASSIS,523,550.1320678
3537,2015,Chevrolet,K1500 TAHOE 4WD,498,536.1851998
3538,2015,Chevrolet,K1500 TAHOE 4WD,498,536.1851998
3539,2015,Chevrolet,TRAVERSE AWD,476,463.8259419
3540,2015,Dodge,Durango AWD,458,470.1953062
3541,2015,Dodge,Durango AWD,542,590.1071757
3543,2015,Ford,Expedition EL 4WD,543,507.7922181
3547,2015,Ford,FLEX AWD,482,479.8984819
3555,2015,GMC,K1500 YUKON XL 4WD,503,536.1851998
3556,2015,GMC,K1500 YUKON XL 4WD,548,592.6211793
3557,2015,GMC,K1500 YUKON XL 4WD,537,598.9905436
3560,2015,INFINITI,QX80 4WD (over 6000 lbs curb weight),587,611.6448693
3564,2015,Jeep,Grand Cherokee SRT8 4x4,595,640.2004345
3569,2015,Land Rover,Range Rover LWB,466,486.1682277
3570,2015,Land Rover,Range Rover Sport,469,486.1682277
3574,2015,LEXUS,LX 570,623,629.0651326
3580,2015,Mercedes-Benz,GL 450 4MATIC,480,474.1997962
3581,2015,Mercedes-Benz,GL 550 4MATIC,587,591.8863753
3586,2015,Mercedes-Benz,ML 400 4MATIC,454,463.7396452
3587,2015,Mercedes-Benz,ML 63 AMG,611,617.2572583
3588,2015,NISSAN,ARMADA 4WD,626,601.788788
3589,2015,NISSAN,ARMADA 4WD,628,601.788788
3592,2015,Porsche,Cayenne S,461,496.4126406
3596,2015,TOYOTA,HIGHLANDER AWD,437,450.1944305
3599,2015,TOYOTA,LAND CRUISER WAGON 4WD,596,590.7112455
3602,2015,Volkswagen,Touareg,445,439.0305912
3603,2015,Volkswagen,Touareg,462,487.6288913
3604,2015,Volkswagen,Touareg Hybrid,413,394.9558574
3605,2015,"Roush Industries, Inc.",Roush Stage 3 Mustang,553,589.5659386
3610,2016,Aston Martin Lagonda Ltd,V12 Vantage S,628,622.8686865
3611,2016,Aston Martin Lagonda Ltd,V8 Vantage,552,534.2885877
3612,2016,Aston Martin Lagonda Ltd,V8 Vantage,582,545.0507736
3614,2016,Aston Martin Lagonda Ltd,V8 Vantage S,582,545.0507736
3616,2016,Aston Martin Lagonda Ltd,Vantage GT,582,545.0507736
3617,2016,Audi,TT Roadster quattro,336,344.1476045
3620,2016,BMW,Z4 sDrive28i,337,354.6077556
3621,2016,BMW,Z4 sDrive35i,454,439.3326261
3622,2016,BMW,Z4 sDrive35is,454,439.3326261
3624,2016,Chevrolet,CORVETTE,442,543.2030713
3625,2016,Chevrolet,CORVETTE,491,575.019473
3626,2016,Chevrolet,CORVETTE,424,529.5582381
3627,2016,Dodge,Viper SRT,579,670.377088
3628,2016,"Ferrari North America, Inc.",488 GTB,502,493.2944349
3630,2016,"Ferrari North America, Inc.",488 Spider,502,493.2944349
3632,2016,"Ferrari North America, Inc.",F12,679,649.8163527
3634,2016,"Ferrari North America, Inc.",F12 tdf,659,649.8163527
3639,2016,Honda,CR-Z,261,248.8427604
3640,2016,Jaguar,F-TYPE Convertible,396,433.8674725
3643,2016,Jaguar,F-TYPE Coupe Manual,476,451.9051273
3646,2016,Jaguar,F-TYPE R Convertible,487,540.1478306
3649,2016,Jaguar,F-TYPE S Convertible,408,433.8674725
3651,2016,Jaguar,F-TYPE S Coupe,408,433.8674725
3655,2016,Lamborghini,Huracan,532,544.1845019
3658,2016,MAZDA,MX-5,295,328.3904211
3659,2016,McLaren,570S Coupe,481,479.6629235
3663,2016,Mercedes-Benz,AMG GT S,487,496.4657953
3669,2016,Mercedes-Benz,SLK 300,321,353.7016509
3671,2016,Mercedes-Benz,Smart fortwo (COUPE),246,280.8626311
3672,2016,Mercedes-Benz,Smart fortwo (COUPE),255,277.6779489
3673,2016,NISSAN,370Z,416,442.2882483
3675,2016,NISSAN,370Z Roadster,433,442.2882483
3677,2016,Pagani Automobili S.p.A.,Huayra Coupe,671,649.086021
3679,2016,Porsche,911 GT3RS,537,504.1030847
3682,2016,Porsche,Boxster GTS,357,408.3671481
3683,2016,Porsche,Boxster GTS,402,422.616051
3695,2016,Aston Martin Lagonda Ltd,Vanquish,557,594.6729155
3701,2016,FIAT,500,259,292.2307086
3707,2016,Mini,Mini Cooper S Convertible,333,351.1210385
3709,2016,Porsche,911 Carrera,401,425.8007331
3710,2016,Porsche,911 Carrera 4,387,418.8272991
3715,2016,Porsche,911 Carrera 4 GTS,427,445.4596087
3717,2016,Porsche,911 Carrera 4 GTS Cabriolet,437,455.9197597
3723,2016,Porsche,911 Carrera Cabriolet,404,425.8007331
3724,2016,Porsche,911 Carrera GTS,417,445.4596087
3726,2016,Porsche,911 Carrera GTS Cabriolet,419,445.4596087
3727,2016,Porsche,911 Carrera GTS Cabriolet,437,455.9197597
3734,2016,Porsche,911 Targa 4,420,432.7741672
3741,2016,Porsche,911 Turbo S,448,464.7035091
3742,2016,Porsche,911 Turbo S Cabriolet,448,464.7035091
3744,2016,SCION,FR-S,360,352.7974402
3745,2016,Subaru,BRZ,317,335.3638552
3755,2016,Audi,S3,340,354.6077556
3757,2016,Audi,S5,439,444.9316933
3760,2016,Audi,TTS Coupe,358,361.5811896
3763,2016,BMW,228i,327,357.4904028
3765,2016,BMW,228i Convertible,334,357.4904028
3766,2016,BMW,228i xDrive,332,357.4904028
3768,2016,BMW,428i Convertible,334,357.4904028
3769,2016,BMW,428i xDrive Convertible,353,367.9505539
3770,2016,BMW,435i Convertible,375,411.1368551
3772,2016,BMW,640i Convertible,375,411.1368551
3774,2016,BMW,640i xDrive Convertible,382,418.1102891
3778,2016,BMW,650i xDrive Convertible,484,512.335919
3780,2016,BMW,M2,393,414.925607
3781,2016,BMW,M2,429,425.6877929
3782,2016,BMW,M235i,370,411.1368551
3785,2016,BMW,M235i Convertible,408,418.7143588
3789,2016,BMW,M4 Convertible,439,436.1479439
3790,2016,BMW,M6 Convertible,554,533.5582559
3796,2016,Chevrolet,SPARK,260,281.7705576
3800,2016,Ford,MUSTANG,353,357.1484027
3801,2016,Ford,MUSTANG,349,357.1484027
3802,2016,Ford,MUSTANG,408,418.1832641
3804,2016,Ford,MUSTANG,470,488.3172315
3809,2016,HYUNDAI MOTOR COMPANY,Genesis Coupe,455,466.0778759
3811,2016,LEXUS,RC 200t,345,360.9771198
3815,2016,LEXUS,RC F,465,512.1201808
3816,2016,MASERATI,GRANTURISMO,574,531.1039056
3817,2016,MASERATI,GRANTURISMO CONVERTIBLE,579,545.0507736
3820,2016,Mercedes-Benz,E 400 4MATIC (coupe),384,414.925607
3821,2016,Mercedes-Benz,E 550 (convertible),442,501.2317329
3826,2016,Mini,MINI COOPER HARDTOP 4 DOOR,272,306.8642274
3827,2016,Mini,Mini Cooper S Hardtop 2 door,312,340.6608875
3829,2016,Mini,Mini Cooper S Hardtop 4 door,312,340.6608875
3830,2016,Mini,Mini Cooper S Hardtop 4 door,328,351.1210385
3831,2016,Mini,MINI John Cooper Works Hardtop,321,344.1476045
3838,2016,Volkswagen,Beetle Convertible,316,327.3447327
3841,2016,Volkswagen,Eos,354,361.5811896
3844,2016,Acura,TLX 2WD,358,417.9078727
3846,2016,Audi,A4,341,357.4904028
3848,2016,Audi,A4 quattro,343,354.6077556
3849,2016,Audi,Q3,389,372.0413406
3852,2016,Audi,S4,439,444.9316933
3854,2016,Bentley,Continental GT,580,617.403533
3856,2016,BMW,320i,321,344.1476045
3857,2016,BMW,320i xDrive,332,357.4904028
3860,2016,BMW,328i,327,357.4904028
3864,2016,BMW,340i,384,411.7409248
3866,2016,BMW,340i xDrive,385,411.7409248
3867,2016,BMW,428i Coupe,327,357.4904028
3873,2016,BMW,435i Coupe,383,411.7409248
3875,2016,BMW,435i xDrive Coupe,374,418.1102891
3878,2016,BMW,640i Gran Coupe,375,411.1368551
3880,2016,BMW,650i Gran Coupe,452,494.9023339
3882,2016,BMW,Alpina B6 Gran Coupe xDrive,484,512.335919
3884,2016,BMW,M3,439,436.1479439
3886,2016,BMW,M4 Coupe,439,436.1479439
3889,2016,Buick,VERANO,372,354.6077556
3895,2016,Cadillac,ATS,375,410.9211169
3898,2016,Cadillac,ATS-V,472,468.5189045
3902,2016,Chevrolet,CAMARO,393,414.4078339
3906,2016,Chevrolet,CRUZE,255,293.7389891
3908,2016,Chevrolet,CRUZE PREMIER,259,293.7389891
3924,2016,Honda,CIVIC 2Dr,250,280.9869388
3926,2016,Honda,CIVIC 2Dr,288,314.4435531
3929,2016,HYUNDAI MOTOR COMPANY,Veloster,307,317.5152949
3931,2016,HYUNDAI MOTOR COMPANY,Veloster,318,321.002012
3932,2016,HYUNDAI MOTOR COMPANY,Veloster,299,305.2448286
3943,2016,LEXUS,GS F,472,512.1201808
3945,2016,LEXUS,IS 300 AWD,415,432.7608454
3948,2016,MAZDA,CX-3 2WD,288,314.4435531
3950,2016,MAZDA,MAZDA 2,239,281.1531661
3952,2016,MAZDA,MAZDA3 4-Door,260,303.983402
3956,2016,MAZDA,MAZDA3 4-Door,304,337.273789
3957,2016,Mercedes-Benz,AMG C 63,440,479.0322102
3958,2016,Mercedes-Benz,AMG C 63 S,440,479.0322102
3960,2016,Mercedes-Benz,AMG CLS 63 S 4MATIC,496,544.036201
3963,2016,Mercedes-Benz,C 300,315,347.3322867
3967,2016,Mercedes-Benz,CLA 250 4MATIC,321,354.3057207
3968,2016,Mercedes-Benz,CLA 250 4MATIC,321,354.3057207
3970,2016,Mercedes-Benz,CLS 400 4MATIC,405,421.899041
3975,2016,Mini,Mini Cooper Countryman,307,319.1916966
3983,2016,Mini,Mini Cooper S Paceman,309,327.975446
3984,2016,Mini,Mini Cooper S Paceman ALL4,340,341.9223141
3985,2016,Mini,Mini Cooper S Paceman ALL4,324,338.435597
3986,2016,Mini,Mini JCW Countryman ALL4,340,341.9223141
3988,2016,Mini,Mini JCW Paceman ALL4,340,341.9223141
3989,2016,Mini,Mini JCW Paceman ALL4,324,338.435597
3993,2016,Mitsubishi Motors Corporation,LANCER,349,348.3513315
3994,2016,Mitsubishi Motors Corporation,LANCER 4WD,333,348.0492967
3995,2016,NISSAN,VERSA,302,298.8754643
3996,2016,NISSAN,VERSA,257,275.3745498
3997,2016,NISSAN,VERSA,295,302.0601464
3999,2016,Rolls-Royce Motor Cars Limited,Phantom Coupe,638,648.2528913
4001,2016,SCION,tC,339,351.220657
4002,2016,SCION,tC,339,351.220657
4005,2016,Subaru,WRX,419,392.357573
4008,2016,TOYOTA,PRIUS c,178,204.97479
4011,2016,Volkswagen,Beetle,316,327.3447327
4013,2016,Volkswagen,Beetle,333,337.1741705
4016,2016,Volkswagen,CC,349,361.5811896
4019,2016,Volkswagen,Golf,305,323.8580157
4021,2016,Volkswagen,Golf R,347,361.5811896
4025,2016,Volkswagen,Jetta,279,300.7124231
4032,2016,"Volvo Cars of North America, LLC",S60 AWD,351,385.5180526
4033,2016,"Volvo Cars of North America, LLC",S60 AWD,375,377.9442647
4034,2016,"Volvo Cars of North America, LLC",S60 AWD,412,411.7409248
4037,2016,"Volvo Cars of North America, LLC",S60 FWD,330,375.0579016
4038,2016,"Volvo Cars of North America, LLC",S60 Inscription AWD,375,377.9442647
4039,2016,"Volvo Cars of North America, LLC",S60 Inscription FWD,306,336.5701007
4041,2016,Acura,RLX,297,322.8898969
4044,2016,Audi,A6 quattro,340,360.9771198
4045,2016,Audi,A6 quattro,343,386.729836
4048,2016,Audi,A7 quattro,373,419.9206044
4052,2016,Audi,S8,474,489.1903264
4054,2016,Bentley,Flying Spur,604,617.403533
4055,2016,Bentley,Mulsanne,656,661.6696254
4056,2016,BMW,528i,334,357.4904028
4058,2016,BMW,535d,335,386.729836
4059,2016,BMW,535d xDrive,338,386.729836
4063,2016,BMW,550i xDrive,463,501.8757679
4064,2016,BMW,ActiveHybrid 5,346,311.9442249
4066,2016,BMW,M5,517,516.4267057
4069,2016,Buick,LACROSSE,422,421.9853377
4072,2016,Buick,REGAL,369,354.6077556
4073,2016,Buick,REGAL,308,316.2716651
4075,2016,Buick,REGAL AWD,405,365.0679066
4077,2016,Cadillac,CTS SEDAN,375,410.9211169
4080,2016,Cadillac,CTS SEDAN AWD,397,421.381268
4081,2016,Cadillac,CTS-V,534,588.6643062
4082,2016,Chevrolet,CRUZE LIMITED,296,307.6858572
4087,2016,Chevrolet,CRUZE LIMITED ECO,269,297.2257061
4090,2016,Chevrolet,MALIBU,196,187.9465283
4091,2016,Chevrolet,MALIBU,339,350.5169688
4094,2016,Chevrolet,SONIC 5 RS,298,311.1725742
4098,2016,Chrysler,200 AWD,403,424.5659501
4099,2016,Dodge,Challenger,389,414.4078339
4100,2016,Dodge,Challenger,465,527.3462694
4102,2016,Dodge,Challenger,486,566.9793772
4103,2016,Dodge,Challenger,524,571.0701639
4104,2016,Dodge,Challenger SRT8,546,602.6111742
4106,2016,Dodge,Challenger SRT8,486,566.9793772
4107,2016,Dodge,Challenger SRT8,524,571.0701639
4108,2016,Dodge,Dart,288,314.6592912
4112,2016,Dodge,Dart,324,341.0758626
4113,2016,Dodge,Dart,330,341.0758626
4114,2016,Dodge,Dart Aero,275,311.1725742
4116,2016,Dodge,Dart GT,346,348.0492967
4117,2016,Dodge,Dart GT,332,341.0758626
4120,2016,Ford,FOCUS RS AWD,410,388.5288558
4121,2016,Ford,Focus ST FWD,349,347.6343215
4123,2016,Ford,FUSION FWD,316,317.8306516
4124,2016,Ford,FUSION FWD,303,314.3439346
4128,2016,Honda,ACCORD,288,311.2055839
4129,2016,Honda,ACCORD,299,333.8003937
4133,2016,Honda,ACCORD,413,411.8405433
4134,2016,Honda,CIVIC 4Dr,252,280.9869388
4135,2016,Honda,CIVIC 4Dr,256,288.0599913
4136,2016,Honda,CIVIC 4Dr,282,314.4435531
4137,2016,HYUNDAI MOTOR COMPANY,Elantra,277,304.6141153
4140,2016,HYUNDAI MOTOR COMPANY,Elantra,319,324.9037041
4141,2016,HYUNDAI MOTOR COMPANY,Elantra GT,328,328.3904211
4145,2016,HYUNDAI MOTOR COMPANY,Sonata HYBRID SE,215,220.129189
4146,2016,INFINITI,Q50,344,357.7924377
4155,2016,INFINITI,Q70,463,527.9636609
4157,2016,INFINITI,Q70 AWD,487,538.423812
4159,2016,Jaguar,XF,375,419.9206044
4164,2016,KIA MOTORS CORPORATION,Optima HYBRID,237,243.2945463
4165,2016,KIA MOTORS CORPORATION,Optima HYBRID EX,242,243.2945463
4166,2016,LEXUS,ES 300h,223,244.8355907
4167,2016,LEXUS,ES 350,368,401.3803923
4169,2016,LEXUS,GS 200t F SPORT,366,371.4372709
4172,2016,LEXUS,GS 350 F SPORT,404,432.1567756
4174,2016,LEXUS,LS 460,460,499.4347393
4175,2016,LEXUS,LS 460 AWD,486,509.8948904
4184,2016,MASERATI,Ghibli  S RWD,472,449.4907422
4186,2016,MASERATI,Ghibli V6 SQ4 AWD,475,449.4907422
4189,2016,MAZDA,MAZDA 6,302,337.273789
4190,2016,MAZDA,MAZDA3 5-Door,265,307.470119
4192,2016,MAZDA,MAZDA3 5-Door,276,326.8136379
4197,2016,Mercedes-Benz,E 350,377,421.9986595
4198,2016,Mercedes-Benz,E 350,377,421.9986595
4199,2016,Mercedes-Benz,E 350 4MATIC,382,421.9986595
4201,2016,Mercedes-Benz,E 400,378,414.925607
4204,2016,Mini,Mini Cooper Clubman,314,324.2978124
4206,2016,Mini,Mini Cooper S Clubman,325,357.4904028
4209,2016,NISSAN,ALTIMA 3.5,349,394.1049234
4210,2016,NISSAN,ALTIMA SR,296,336.9717541
4211,2016,NISSAN,MAXIMA,360,411.5385084
4212,2016,NISSAN,SENTRA,278,288.6907046
4213,2016,NISSAN,SENTRA,294,311.5875493
4216,2016,SCION,iM,278,307.7987974
4221,2016,TOYOTA,AVALON HYBRID,223,244.8355907
4225,2016,TOYOTA,CAMRY HYBRID XLE/SE,224,228.91218
4230,2016,TOYOTA,COROLLA LE ECO,257,281.7172706
4236,2016,"Volvo Cars of North America, LLC",S80 FWD,306,336.5701007
4237,2016,Audi,A8L,360,393.70327
4242,2016,BMW,335i xDrive Gran Turismo,374,418.1102891
4247,2016,BMW,750i xDrive,459,501.8757679
4248,2016,BMW,X1 xDrive28i,346,360.9771198
4249,2016,Cadillac,CT6,354,354.0036858
4250,2016,Cadillac,CT6 AWD,423,432.0571572
4252,2016,Cadillac,XTS,408,415.0119037
4260,2016,Chevrolet,SS,520,547.2938581
4261,2016,Chrysler,300,386,414.4078339
4266,2016,Dodge,Charger,386,414.4078339
4267,2016,Dodge,Charger,386,414.4078339
4269,2016,Dodge,Charger,486,566.9793772
4270,2016,Dodge,Charger AWD,413,428.354702
4273,2016,Dodge,Charger SRT8,486,566.9793772
4274,2016,Ford,C-MAX Hybrid FWD,225,205.5769893
4275,2016,Ford,TAURUS AWD,467,432.7608454
4278,2016,Ford,TAURUS FWD,387,358.0944726
4279,2016,Ford,TAURUS FWD,423,418.8139773
4280,2016,Ford,TAURUS FWD FFV,423,418.8139773
4281,2016,HYUNDAI MOTOR COMPANY,Azera,389,398.5243885
4283,2016,HYUNDAI MOTOR COMPANY,Equus,502,522.5803319
4285,2016,HYUNDAI MOTOR COMPANY,Genesis RWD,409,427.7239887
4293,2016,Jaguar,XJ,504,540.1478306
4305,2016,KIA MOTORS CORPORATION,Optima,357,347.6343215
4306,2016,KIA MOTORS CORPORATION,Optima,316,337.5891456
4309,2016,Lincoln,MKS AWD,468,441.5445948
4315,2016,Mercedes-Benz,AMG S 63 4MATIC,499,544.036201
4316,2016,Mercedes-Benz,AMG S 65,581,614.2188508
4317,2016,Mercedes-Benz,Maybach S 600,577,614.2188508
4324,2016,Porsche,Panamera 4S Executive,436,439.3326261
4326,2016,Porsche,Panamera S,429,428.872475
4327,2016,Porsche,Panamera Turbo,483,521.8366783
4328,2016,Porsche,Panamera Turbo Executive,488,521.8366783
4330,2016,Porsche,Panamera Turbo S Executive,488,521.8366783
4331,2016,Rolls-Royce Motor Cars Limited,Ghost,580,636.4316952
4332,2016,Rolls-Royce Motor Cars Limited,Ghost EWB,580,636.4316952
4334,2016,Rolls-Royce Motor Cars Limited,Phantom EWB,637,648.2528913
4342,2016,FIAT,500L,351,342.5530273
4343,2016,FIAT,500L,312,325.1194422
4346,2016,Honda,FIT,277,295.1000342
4347,2016,INFINITI,QX50,448,452.7483993
4348,2016,INFINITI,QX50 AWD,452,452.7483993
4350,2016,KIA MOTORS CORPORATION,Soul,335,322.6784136
4355,2016,NISSAN,JUKE AWD,318,334.6468451
4359,2016,Subaru,IMPREZA SPORT,323,321.719022
4360,2016,Subaru,IMPREZA WAGON,284,314.4435531
4361,2016,Subaru,IMPREZA WAGON,313,321.719022
4362,2016,Volkswagen,Golf SportWagen,305,323.8580157
4363,2016,Volkswagen,Golf SportWagen,309,320.6733336
4365,2016,"Volvo Cars of North America, LLC",V60 AWD,375,377.9442647
4370,2016,Mercedes-Benz,AMG E 63 S 4MATIC (stat. wagon),498,544.036201
4373,2016,Mercedes-Benz,GLA 250,307,343.8455696
4378,2016,TOYOTA,PRIUS v,211,212.4743811
4386,2016,GMC,CANYON 2WD,427,421.9853377
4387,2016,NISSAN,FRONTIER 2WD,462,389.8765791
4391,2016,TOYOTA,TACOMA 2WD,424,385.4571139
4392,2016,TOYOTA,TACOMA 2WD,430,418.8139773
4393,2016,Chevrolet,COLORADO 4WD,426,379.1143932
4398,2016,GMC,CANYON 4WD,450,428.9587717
4400,2016,NISSAN,FRONTIER 4WD,495,459.0777983
4403,2016,TOYOTA,TACOMA 4WD,444,425.7874114
4404,2016,TOYOTA,TACOMA 4WD,471,432.7608454
4405,2016,TOYOTA,Tacoma 4WD Double Cab,483,443.2209964
4406,2016,Chevrolet,C15 SILVERADO 2WD,449,451.1582944
4409,2016,Chevrolet,C15 SILVERADO 2WD,446,470.401103
4410,2016,Chevrolet,C15 SILVERADO 2WD,493,514.6608279
4411,2016,Chevrolet,C15 SILVERADO 2WD,527,553.6632224
4413,2016,Ford,F150 2WD,412,395.2534096
4420,2016,GMC,C15 SIERRA 2WD,480,497.8313126
4423,2016,GMC,C15 SIERRA 2WD,493,514.6608279
4425,2016,RAM,1500 4X2,439,421.5970061
4426,2016,RAM,1500 4X2,450,435.328136
4434,2016,TOYOTA,TUNDRA 2WD FFV,592,555.8440753
4435,2016,Chevrolet,K15 SILVERADO 4WD,475,458.1317284
4437,2016,Chevrolet,K15 SILVERADO 4WD,494,508.2914636
4438,2016,Chevrolet,K15 SILVERADO 4WD,489,487.8346881
4440,2016,Chevrolet,K15 SILVERADO 4WD,521,553.6632224
4442,2016,Ford,F150 3.5L 4WD GVWR>7599 LBS PAYLOAD PACKAGE,523,462.4648969
4444,2016,Ford,F150 4WD,486,452.0047458
4445,2016,Ford,F150 4WD FFV,464,432.7608454
4450,2016,GMC,K15 SIERRA 4WD,495,508.2914636
4451,2016,GMC,K15 SIERRA 4WD,489,487.8346881
4456,2016,RAM,1500 4X4,584,566.3042264
4458,2016,"Roush Industries, Inc.",F150 Pickup 4WD,641,606.9995236
4459,2016,TOYOTA,TUNDRA 4WD,570,507.0122431
4462,2016,Chevrolet,G2500 EXPRESS 2WD PASS MDPV,710,596.7386096
4463,2016,Chevrolet,G3500 EXPRESS 2WD PASS MDPV,718,617.6589117
4465,2016,Ford,Transit T150 Wagon FFV,572,470.4840193
4466,2016,GMC,G2500 SAVANA 2WD PASS MDPV,710,596.7386096
4467,2016,GMC,G3500 SAVANA 2WD PASS MDPV,717,617.6589117
4468,2016,Cadillac,XTS HEARSE,526,456.8525079
4477,2016,Ford,TRANSIT CONNECT WAGON LWB FFV,405,372.1409591
4478,2016,Ford,Transit Connect Wagon LWB FWD,405,372.1409591
4481,2016,Mercedes-Benz,Metris (Passenger Van),414,382.1994568
4482,2016,NISSAN,NV200 Cargo Van,353,322.9271615
4484,2016,RAM,Promaster City,372,368.0634941
4489,2016,GMC,C15 SIERRA 2WD CAB CHASSIS,523,518.7516147
4491,2016,GMC,K15 SIERRA 4WD CAB CHASSIS,523,518.7516147
4493,2016,Chrysler,Town & Country,444,428.9587717
4496,2016,Honda,ODYSSEY 2WD,402,411.8405433
4497,2016,KIA MOTORS CORPORATION,Sedona,442,419.4446906
4498,2016,KIA MOTORS CORPORATION,Sedona SX,432,412.4712566
4503,2016,Acura,MDX 2WD,403,435.3414578
4506,2016,BMW,X3 sDrive 28i,372,371.4372709
4507,2016,Buick,ENCORE,293,307.6858572
4508,2016,Buick,ENCORE,317,314.6592912
4510,2016,Chevrolet,EQUINOX FWD,344,348.0492967
4515,2016,FIAT,500X,313,325.1194422
4519,2016,Ford,EDGE FWD,431,418.8139773
4522,2016,Ford,ESCAPE FWD,354,354.7073741
4523,2016,GMC,TERRAIN FWD,344,348.0492967
4524,2016,GMC,TERRAIN FWD,344,348.0492967
4526,2016,Honda,CR-V 2WD,306,318.1790179
4527,2016,Honda,HR-V 2WD,285,292.1774216
4530,2016,Honda,PILOT 2WD,403,411.8405433
4531,2016,Honda,PILOT 2WD,386,414.4211557
4534,2016,HYUNDAI MOTOR COMPANY,Santa Fe Sport FWD,385,361.9961647
4536,2016,HYUNDAI MOTOR COMPANY,Santa Fe Ultimate FWD,457,419.4446906
4541,2016,INFINITI,QX70 RWD,457,459.7218334
4542,2016,Jeep,Cherokee FWD,359,361.0900601
4543,2016,Jeep,Cherokee FWD,359,361.0900601
4544,2016,Jeep,Cherokee FWD,375,401.4203575
4546,2016,Jeep,Compass FWD,344,332.179173
4556,2016,KIA MOTORS CORPORATION,Sorento FWD,374,358.5094477
4558,2016,KIA MOTORS CORPORATION,Sportage FWD,373,358.5094477
4562,2016,LEXUS,RX 350,389,411.2364736
4564,2016,Lincoln,MKC  FWD,387,358.0944726
4567,2016,MAZDA,CX-5 2WD,302,321.4169871
4568,2016,MAZDA,CX-5 2WD,307,337.273789
4569,2016,MAZDA,CX-9 2WD,360,363.4911234
4570,2016,Mercedes-Benz,GLC 300,364,374.621953
4573,2016,Mitsubishi Motors Corporation,OUTLANDER SPORT 2WD,345,335.66589
4574,2016,Mitsubishi Motors Corporation,OUTLANDER SPORT 2WD,353,351.5360137
4575,2016,NISSAN,PATHFINDER 2WD,388,388.9436986
4582,2016,"Volvo Cars of North America, LLC",XC60 FWD,344,350.5169688
4583,2016,"Volvo Cars of North America, LLC",XC60 FWD,361,389.0047696
4585,2016,Acura,MDX 4WD,409,435.3414578
4588,2016,Audi,Q5,393,378.4107049
4592,2016,Audi,SQ5,458,458.2744916
